Date,Open,High,Low,Close,Volume,Symbole boursier
2021-03-03 00:00:00-05:00,222.77,224.13,218.07,218.36,34029500,MSFT
2021-03-04 00:00:00-05:00,217.57,223.09,215.19,217.56,44727800,MSFT
2021-03-05 00:00:00-05:00,220.24,223.84,217.30,222.23,41872800,MSFT
2021-03-08 00:00:00-05:00,222.01,223.93,217.94,218.19,35267400,MSFT
2021-03-09 00:00:00-05:00,223.46,225.86,222.30,224.33,33080500,MSFT
2021-03-10 00:00:00-05:00,227.42,227.42,222.66,223.02,29746800,MSFT
2021-03-11 00:00:00-05:00,225.46,229.50,224.83,227.54,29907600,MSFT
2021-03-12 00:00:00-05:00,224.55,226.28,223.80,226.22,22653700,MSFT
2021-03-15 00:00:00-04:00,225.46,225.68,222.44,225.31,26034900,MSFT
2021-03-16 00:00:00-04:00,226.72,230.35,226.40,228.10,28092200,MSFT
2021-03-17 00:00:00-04:00,226.60,228.90,223.80,227.45,29562100,MSFT
2021-03-18 00:00:00-04:00,223.16,224.72,221.02,221.39,34833000,MSFT
2021-03-19 00:00:00-04:00,221.68,223.07,220.08,221.03,46430700,MSFT
2021-03-22 00:00:00-04:00,220.96,227.32,220.83,226.45,30127000,MSFT
2021-03-23 00:00:00-04:00,227.89,231.30,227.48,227.97,31638400,MSFT
2021-03-24 00:00:00-04:00,228.23,228.38,225.80,225.94,25620100,MSFT
2021-03-25 00:00:00-04:00,225.78,227.36,222.21,222.94,34061900,MSFT
2021-03-26 00:00:00-04:00,222.19,227.14,222.19,226.92,25479900,MSFT
2021-03-29 00:00:00-04:00,227.02,227.22,222.50,225.73,25227500,MSFT
2021-03-30 00:00:00-04:00,224.09,224.39,221.75,222.47,24792000,MSFT
2021-03-31 00:00:00-04:00,223.49,229.43,222.99,226.24,43623500,MSFT
2021-04-01 00:00:00-04:00,228.83,233.02,228.42,232.55,30338000,MSFT
2021-04-05 00:00:00-04:00,232.94,239.85,232.89,239.00,36910600,MSFT
2021-04-06 00:00:00-04:00,237.60,239.31,236.90,237.84,22931900,MSFT
2021-04-07 00:00:00-04:00,237.79,240.78,237.19,239.79,22719800,MSFT
2021-04-08 00:00:00-04:00,242.55,243.86,241.81,243.01,23625200,MSFT
2021-04-09 00:00:00-04:00,242.64,245.64,242.23,245.50,24326800,MSFT
2021-04-12 00:00:00-04:00,244.41,247.25,244.32,245.56,27148700,MSFT
2021-04-13 00:00:00-04:00,246.86,248.71,246.44,248.04,23837500,MSFT
2021-04-14 00:00:00-04:00,247.07,248.36,244.84,245.25,23070900,MSFT
2021-04-15 00:00:00-04:00,247.50,249.42,247.31,249.01,25627500,MSFT
2021-04-16 00:00:00-04:00,248.98,250.45,247.18,250.20,24878600,MSFT
2021-04-19 00:00:00-04:00,249.67,250.91,247.39,248.28,23209300,MSFT
2021-04-20 00:00:00-04:00,247.39,249.68,246.45,247.82,19722900,MSFT
2021-04-21 00:00:00-04:00,248.47,250.14,246.85,250.04,24030400,MSFT
